站號,站名,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
C0E780,銅鑼,160,120.7909,24.4897,苗栗縣,銅鑼鄉福興村文化街1號(銅鑼國小),2011/11/01,　,　,　,　
C0E790,卓蘭,344,120.8248,24.3128,苗栗縣,卓蘭鎮中山路127號(卓蘭鎮公所),2011/11/01,　,　,　,　
C0E810,西湖,53,120.7485,24.5629,苗栗縣,西湖鄉二湖村2鄰22號(僑文國小),2011/11/01,　,　,　,　
C0E820,獅潭,220,120.92,24.5391,苗栗縣,獅潭鄉新店村11鄰103-2號(獅潭鄉公所圖書館樓頂),2011/12/01,　,　,　,　
C0E830,苑裡,37,120.6531,24.4397,苗栗縣,苑裡鎮信義路1號(苑裡鎮公所),2013/12/01,　,　,　,　
C0E850,大河,104,120.9486,24.6181,苗栗縣,三灣鄉大河村48號(大河派出所),2015/08/04,　,　,　,　
C0E860,觀霧2,2616,121.1132,24.506,苗栗縣,苗栗縣南庄鄉,2016/01/01,　,　,　,　
C0F000,大肚,273,120.5721,24.153,臺中市,大肚區瑞井里遊園路一段2號(臺中區監理所內),2011/11/01,　,原(C1F000)站因擴充為氣象站，於2011/11/1升級為(C0F000)站。,C1F000,　
C0F0A0,雪山圈谷,3587,121.2363,24.3886,臺中市,和平區(往雪山主峰路上9.8公里處右邊),2016/07/15,　,　,　,　
C0F0B0,石岡,311,120.7776,24.2761,臺中市,石岡區石岡街6號 (臺中市石岡區衛生所),2016/10/01,　,　,　,　
C0F0C0,中坑,983,120.9033,24.2485,臺中市,和平區中坑里中坑段39地號內,2017/06/14,　,　,　,　
C0F850,東勢,379,120.833,24.2464,臺中市,東勢區東關路647號(東勢林區管理處雙崎工作站內),2011/11/01,　,原(C1F850)站因擴充為氣象站，於2011/11/1升級為(C0F850)站。,C1F850,　
C0F861,梨山,2215,121.2437,24.2475,臺中市,和平區梨山里福壽路29號（福壽山農場）,2004/07/01,　,　,C0F860,　
C0F930,大甲,100,120.6404,24.3477,臺中市,大甲區開元路71號(大甲高級工業職業學校內),2011/11/01,　,原(C1F930)站因擴充為氣象站，於2011/11/1升級為(C0F930)站。,C1F930,　
C0F970,大坑,145,120.7223,24.1731,臺中市,北屯區軍福十三路268號(東山消防分隊),2011/11/01,　,原(C1F970)站因擴充為氣象站，於2011/11/1升級為(C0F970)站。,C1F970,　
C0F9A0,中竹林,425,120.7511,24.1036,臺中市,太平區長龍路中埔二號橋至站址直線距離約1.7km,2011/11/01,　,原(C1F9A0)站因擴充為氣象站，於2011/11/1升級為(C0F9A0)站。,C1F9A0,　
C0F9I0,神岡,194,120.6583,24.2725,臺中市,神岡區三民路639號(圳堵國小校園南側大樓屋頂平台),2011/11/01,　,原(C1F9I0)站因擴充為氣象站，於2011/11/1升級為(C0F9I0)站。,C1F9I0,　
C0F9K0,大安,30,120.588,24.3451,臺中市,大安區中庄里中山南路296號(大安國小),2011/11/01,　,　,　,　
C0F9L0,后里,253,120.7297,24.3104,臺中市,后里區甲后路110號(后里國小),2011/11/01,　,　,　,　
C0F9M0,豐原,230,120.7207,24.2543,臺中市,豐原區豐榮里12鄰新生北路155號(豐原國小),2011/11/01,　,　,　,　
C0F9N0,大里,75,120.7014,24.0925,臺中市,大里區文化街120號(塗城國小),2011/11/01,　,　,　,　
C0F9O0,潭子,175,120.7039,24.2131,臺中市,潭子區中山路二段435號(潭子國小),2011/11/01,　,　,　,　
C0F9P0,清水,26,120.5622,24.3123,臺中市,清水區護岸路37號(高美國小),2011/11/01,　,　,　,　
C0F9Q0,外埔,149,120.7057,24.3478,臺中市,外埔區土城里土城西路55號(安定國小),2011/11/01,　,　,　,　
C0F9R0,龍井,20,120.529,24.1845,臺中市,龍井區西里龍門路51號(龍井國小),2011/11/01,　,　,　,　
C0F9S0,烏日,43,120.6241,24.1071,臺中市,烏日區中山路二段196號(烏日國小),2011/11/01,　,　,　,　
C0F9T0,西屯,111,120.6413,24.1795,臺中市,西屯區西屯路二段300號(西屯國小),2011/11/01,　,　,　,　
C0F9U0,南屯,74,120.638,24.137,臺中市,南屯區黎明路一段968號(南屯國小),2011/11/01,　,　,　,　
C0F9V0,新社,525,120.8158,24.2002,臺中市,新社區大南里興中街46號(農委會種苗改良繁殖場),2011/11/01,　,　,　,　
C0F9X0,大雅(中科園區),166,120.6245,24.2153,臺中市,大雅區中部科學工業園區臺中園區(汙水處理機房樓頂),2015/08/21,　,　,　,　
C0F9Y0,桃山,3313,121.3038,24.4327,臺中市,和平區(位於往桃山山屋叉路解說牌附近),2016/07/15,　,　,　,　
C0F9Z0,雪山東峰,3193,121.2687,24.3888,臺中市,和平區(位於雪山東峰直升機停機坪東南東方60公尺處),2016/07/15,　,　,　,　
C0G620,芬園,110,120.6213,24.0157,彰化縣,芬園鄉楓坑村大埔崙產業道路上(芬園往臺灣民俗村路上),2011/11/01,　,原(C1G620)站因擴充為氣象站，於2011/11/1升級為(C0G620)站。,C1G620,　
C0G640,鹿港,17,120.4305,24.0753,彰化縣,鹿港鎮海埔里顏厝巷67號(行政院退輔會魚殖管理處彰化分場內),1992/07/01,　,　,　,　
C0G650,員林,34,120.5856,23.9465,彰化縣,員林市萬年里明倫路2號(明倫國中內),1992/07/01,　,　,　,　
C0G660,溪湖,27,120.4791,23.9484,彰化縣,溪湖鎮大竹里彰水路2段725號(湖南國民小學內),2011/11/01,　,原(C1G660)站因擴充為氣象站，於2011/11/1升級為(C0G660)站。,C1G660,　
C0G720,溪州,50,120.4991,23.8516,彰化縣,溪州鄉溪下路四段560號(溪州鄉公所),2015/07/03,　,　,　,　
C0G730,二林,27,120.3761,23.9033,彰化縣,二林鎮仁愛路200號(二林消防分隊),2015/07/03,　,原中西(C1G700)站因移位及擴充為氣象站，於2015/7/1升級為(C0G730)站，站名更變為二林。,C1G700,　
C0G740,大城,24,120.3209,23.8525,彰化縣,大城鄉東城村中平路185號(大城鄉公所),2015/07/03,　,　,　,　
C0G750,竹塘,31,120.3825,23.8466,彰化縣,竹塘鄉永安村東陽路二段221號(永安派出所),2015/07/03,　,　,　,　
C0G770,福興,15,120.4377,24.0413,彰化縣,福興鄉員鹿路二段270號(福興國中),2011/11/01,　,　,　,　
